Time,Agent,X,Y,Z,Status
1753561189.39,Agent_2,-1.22,-0.64,1.0,moving
1753561189.51,Agent_2,-1.17,-0.63,1.0,moving
1753561189.64,Agent_2,-1.12,-0.61,1.0,moving
1753561189.76,Agent_2,-1.07,-0.60,1.0,moving
1753561189.89,Agent_2,-1.02,-0.59,1.0,moving
1753561190.01,Agent_2,-0.97,-0.58,1.0,moving
1753561190.14,Agent_2,-0.92,-0.57,1.0,moving
1753561190.26,Agent_2,-0.88,-0.55,1.0,moving
1753561190.39,Agent_2,-0.83,-0.54,1.0,moving
1753561190.51,Agent_2,-0.78,-0.53,1.0,moving
1753561190.64,Agent_2,-0.73,-0.52,1.0,moving
1753561190.76,Agent_2,-0.68,-0.50,1.0,moving
1753561190.89,Agent_2,-0.63,-0.49,1.0,moving
1753561191.02,Agent_2,-0.58,-0.48,1.0,moving
1753561191.14,Agent_2,-0.53,-0.47,1.0,moving
1753561191.27,Agent_2,-0.48,-0.45,1.0,moving
1753561191.39,Agent_2,-0.43,-0.44,1.0,moving
1753561191.52,Agent_2,-0.38,-0.43,1.0,moving
1753561191.64,Agent_2,-0.33,-0.42,1.0,moving
1753561191.77,Agent_2,-0.28,-0.41,1.0,moving
1753561191.89,Agent_2,-0.24,-0.39,1.0,moving
1753561192.02,Agent_2,-0.19,-0.38,1.0,moving
1753561192.14,Agent_2,-0.14,-0.37,1.0,moving
1753561192.27,Agent_2,-0.09,-0.36,1.0,moving
1753561192.39,Agent_2,-0.04,-0.34,1.0,moving
1753561192.52,Agent_2,0.01,-0.33,1.0,moving
1753561192.64,Agent_2,0.06,-0.32,1.0,moving
1753561192.80,Agent_2,0.11,-0.31,1.0,moving
1753561192.92,Agent_2,0.16,-0.29,1.0,moving
1753561193.02,Agent_2,0.21,-0.28,1.0,moving
1753561193.15,Agent_2,0.26,-0.27,1.0,moving
1753561193.27,Agent_2,0.31,-0.26,1.0,moving
1753561193.40,Agent_2,0.36,-0.25,1.0,moving
1753561193.52,Agent_2,0.40,-0.23,1.0,moving
1753561193.65,Agent_2,0.45,-0.22,1.0,moving
1753561193.77,Agent_2,0.50,-0.21,1.0,moving
1753561193.90,Agent_2,0.55,-0.20,1.0,moving
1753561194.02,Agent_2,0.60,-0.18,1.0,moving
1753561194.15,Agent_2,0.65,-0.17,1.0,moving
1753561194.27,Agent_2,0.70,-0.16,1.0,moving
1753561194.40,Agent_2,0.75,-0.15,1.0,moving
1753561194.52,Agent_2,0.80,-0.13,1.0,moving
1753561194.65,Agent_2,0.85,-0.12,1.0,moving
1753561194.77,Agent_2,0.90,-0.11,1.0,moving
1753561194.90,Agent_2,0.95,-0.10,1.0,moving
1753561195.02,Agent_2,1.00,-0.09,1.0,moving
1753561195.15,Agent_2,1.04,-0.07,1.0,moving
